name,id,align,eye,hair,sex,gsm,alive,apperances,first,year,publisher
Chuda (Earth-616),,Bad Characters,,,Male Characters,,Deceased Characters,1,Jun-67,1967,Marvel
Drako (Earth-616),Public Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,1,Aug-67,1967,Marvel
Ebeneezer Wallaby (Earth-616),Public Identity,Neutral Characters,,Grey Hair,Male Characters,,Living Characters,1,Aug-67,1967,Marvel
Grak (Earth-616),,Bad Characters,,Brown Hair,Male Characters,,Living Characters,1,Feb-67,1967,Marvel
Jerome Whale (Earth-616),,Bad Characters,,,Male Characters,,Living Characters,1,Apr-67,1967,Marvel
Jim Evans (Earth-616),Secret Identity,Bad Characters,,Blond Hair,Male Characters,,Living Characters,1,Apr-67,1967,Marvel
Joe (Earth-616),,,,Black Hair,Male Characters,,Living Characters,1,Mar-67,1967,Marvel
Les (Teen Brigade) (Earth-616),Secret Identity,Good Characters,,Auburn Hair,Male Characters,,Living Characters,1,Nov-67,1967,Marvel
Lightning Lord (Earth-616),,Bad Characters,,,Male Characters,,Living Characters,1,Nov-67,1967,Marvel
Louis Browning (Earth-616),Secret Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,,Living Characters,1,Apr-67,1967,Marvel
Mecho-Assassin (Earth-616),Secret Identity,Bad Characters,Black Eyes,No Hair,Agender Characters,,Deceased Characters,1,Aug-67,1967,Marvel
Miss King (Earth-616),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Female Characters,,Living Characters,1,Sep-67,1967,Marvel
Mr. Regal (Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,1,Sep-67,1967,Marvel
Parkwell (Earth-616),Public Identity,,,Black Hair,Female Characters,,Living Characters,1,Jan-67,1967,Marvel
Red-Bone (Earth-616),Public Identity,,,,Male Characters,,Living Characters,1,May-67,1967,Marvel
Rocky Rhodes (Earth-616),Public Identity,,,,Male Characters,,Living Characters,1,May-67,1967,Marvel
Slugger Sykes (Earth-616),,Neutral Characters,,,Male Characters,,Deceased Characters,1,Jun-67,1967,Marvel
Sulibeg (Earth-616),No Dual Identity,Bad Characters,,,Male Characters,,Living Characters,1,Jul-67,1967,Marvel
Thunderboot (Earth-616),,Bad Characters,,,Male Characters,,Living Characters,1,Apr-67,1967,Marvel
Veritas (Earth-616),,Neutral Characters,,,Male Characters,,Living Characters,1,Mar-67,1967,Marvel
Wazir (Earth-616),Public Identity,Good Characters,,White Hair,Male Characters,,Living Characters,1,Mar-67,1967,Marvel
Byron Frost (Earth-616),Public Identity,Bad Characters,,Grey Hair,Male Characters,,Deceased Characters,1,Dec-68,1968,Marvel
Dalton Gance (Earth-616),,Bad Characters,,,Male Characters,,Living Characters,1,Mar-68,1968,Marvel
Demolisher (Robot) (Earth-616),Public Identity,Neutral Characters,,,,,Living Characters,1,Jun-68,1968,Marvel
Don Heck (Earth-616),Public Identity,Neutral Characters,,Blond Hair,Male Characters,,Living Characters,1,Sep-68,1968,Marvel
Gorgul (Earth-616),,Bad Characters,,,Male Characters,,Deceased Characters,1,Aug-68,1968,Marvel
Heinrich von Ronstadt (Earth-616),,Bad Characters,,,Male Characters,,Deceased Characters,1,Sep-68,1968,Marvel
Herbert Cholmondeley (Earth-616),,Bad Characters,,,Male Characters,,Living Characters,1,Aug-68,1968,Marvel
Jake Malloy (Earth-616),,Bad Characters,,,Male Characters,,Living Characters,1,Dec-68,1968,Marvel
John Buscema (Earth-616),Public Identity,Neutral Characters,,Black Hair,Male Characters,,Living Characters,1,Sep-68,1968,Marvel
Karl Fiers (Earth-616),Secret Identity,Bad Characters,,Brown Hair,Male Characters,,Deceased Characters,1,Nov-68,1968,Marvel
Kor-Konn (Earth-616),,Bad Characters,,,Male Characters,,Living Characters,1,Aug-68,1968,Marvel
Leviathan (Plantman Creation) (Earth-616),,Bad Characters,,,,,Living Characters,1,Jul-68,1968,Marvel
Lord Nekron (Earth-616),Secret Identity,Bad Characters,,Black Hair,Male Characters,,Deceased Characters,1,Nov-68,1968,Marvel
Max (Cameraman) (Earth-616),,,,,Male Characters,,Living Characters,1,Aug-68,1968,Marvel
Maxwell Mordius (Earth-616),,,,Bald,Male Characters,,Living Characters,1,May-68,1968,Marvel
Metazoid (Earth-616),Secret Identity,Neutral Characters,,,Male Characters,,Deceased Characters,1,Sep-68,1968,Marvel
Miles von Croft (Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,1,Aug-68,1968,Marvel
Ooru (Earth-616),,Bad Characters,White Eyes,Black Hair,Male Characters,,Deceased Characters,1,Dec-68,1968,Marvel
Oracle (Inhumans) (Earth-616),,Neutral Characters,,Yellow Hair,Male Characters,,Living Characters,1,Oct-68,1968,Marvel
Paula Jackson (Earth-616),,Good Characters,,,Female Characters,,Living Characters,1,Sep-68,1968,Marvel
Roger Vane (Earth-616),,,,Brown Hair,Male Characters,,Living Characters,1,Dec-68,1968,Marvel
Sandor (Earth-616),Secret Identity,Bad Characters,,Bald,Male Characters,,Living Characters,1,Nov-68,1968,Marvel
Solam (Earth-616),,,,,,,Deceased Characters,1,Oct-68,1968,Marvel
Supreme Hydra (Japanese) (Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Deceased Characters,1,Jul-68,1968,Marvel
Tir-Zarr (Earth-616),,,,,Male Characters,,Living Characters,1,Dec-68,1968,Marvel
Tomazooma (Manidoog God) (Earth-616),,Neutral Characters,,,Male Characters,,Living Characters,1,Nov-68,1968,Marvel
Walter Lawson (Earth-616),,Bad Characters,,Blond Hair,Male Characters,,Deceased Characters,1,Mar-68,1968,Marvel
Whitey Barton (Earth-616),No Dual Identity,Neutral Characters,,White Hair,Male Characters,,Living Characters,1,Dec-68,1968,Marvel
6R (Earth-616),,Bad Characters,,,,,Deceased Characters,1,Jul-69,1969,Marvel
C6 (Earth-616),,Bad Characters,,,,,Deceased Characters,1,Aug-69,1969,Marvel
Cat-Man (Alien) (Earth-616),,,,,,,Living Characters,1,Nov-69,1969,Marvel
Cole Yorby (Earth-616),Public Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,1,Apr-69,1969,Marvel
Cornelius Webb (Earth-616),,Bad Characters,,,Male Characters,,Deceased Characters,1,Dec-69,1969,Marvel
Danad (Earth-616),No Dual Identity,Neutral Characters,,No Hair,Male Characters,,Living Characters,1,Feb-69,1969,Marvel
Empress Daydra (Earth-616),Public Identity,,,Black Hair,Female Characters,,Living Characters,1,Feb-69,1969,Marvel
Jacob Weiss (Earth-616),,Good Characters,,,Male Characters,,Deceased Characters,1,Dec-69,1969,Marvel
Jerry Larkin (Earth-616),No Dual Identity,Good Characters,,,Male Characters,,Deceased Characters,1,Feb-69,1969,Marvel
Margaret Huff (Earth-616),,Good Characters,,,Female Characters,,Deceased Characters,1,Sep-69,1969,Marvel
Number 3 (Earth-616),,Bad Characters,,,,,Deceased Characters,1,Aug-69,1969,Marvel
Number 5 (Sentinel) (Earth-616),,Bad Characters,,,,,Deceased Characters,1,Aug-69,1969,Marvel
Number 8 (Earth-616),,Bad Characters,,,,,Deceased Characters,1,Jul-69,1969,Marvel
Number 9 (Earth-616),,Bad Characters,,,,,Deceased Characters,1,Jul-69,1969,Marvel
Primitoid (Earth-616),,,,,,,Living Characters,1,Nov-69,1969,Marvel
Quor (Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,1,Mar-69,1969,Marvel
R7 (Earth-616),,Bad Characters,,,,,Deceased Characters,1,Aug-69,1969,Marvel
Slee (Earth-616),No Dual Identity,Neutral Characters,,No Hair,Male Characters,,Living Characters,1,Feb-69,1969,Marvel
Super Sentry (Earth-616),,,,,,,Living Characters,1,Sep-69,1969,Marvel
Taxtor (Earth-616),,,,Purple Hair,Male Characters,,Living Characters,1,Oct-69,1969,Marvel
Torger (Earth-616),,Good Characters,,,Male Characters,,Living Characters,1,Mar-69,1969,Marvel
Travis Hoyt (Earth-616),Secret Identity,Bad Characters,,White Hair,Male Characters,,Living Characters,1,Jun-69,1969,Marvel
Wayde Garrison (Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,1,Feb-69,1969,Marvel
Z2 (Earth-616),,Bad Characters,,,,,Deceased Characters,1,Aug-69,1969,Marvel
Abarac (Earth-616),No Dual Identity,Good Characters,,White Hair,Male Characters,,Living Characters,1,Nov-70,1970,Marvel
Agent A-14 (Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Deceased Characters,1,Apr-70,1970,Marvel
Andreas Flec (Earth-616),Public Identity,Good Characters,,Red Hair,Male Characters,,Deceased Characters,1,Apr-70,1970,Marvel
Atha Williams (Earth-616),No Dual Identity,,Blue Eyes,Blond Hair,Female Characters,,Living Characters,1,Jan-70,1970,Marvel
Black (Horse) (Earth-616),,Good Characters,,Brown Hair,,,Living Characters,1,Aug-70,1970,Marvel
Brodar (Earth-616),,Bad Characters,,Black Hair,Male Characters,,Living Characters,1,Nov-70,1970,Marvel
Chalo (Earth-616),Secret Identity,Neutral Characters,,,Male Characters,,Living Characters,1,Jun-70,1970,Marvel
Creighton McCall (Earth-616),Public Identity,Good Characters,,,Male Characters,,Deceased Characters,1,Aug-70,1970,Marvel
Cyborg (Earth-616),,Bad Characters,,,Male Characters,,Living Characters,1,Apr-70,1970,Marvel
Duane Wilson (Earth-616),Public Identity,Good Characters,,Brown Hair,Male Characters,,Deceased Characters,1,Feb-70,1970,Marvel
Fred Jones (Earth-616),Public Identity,Good Characters,,Brown Hair,Male Characters,,Living Characters,1,Nov-70,1970,Marvel
George Ashton (Earth-616),,Good Characters,,,Male Characters,,Living Characters,1,Feb-70,1970,Marvel
Jack Fury (Earth-616),,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Deceased Characters,1,Mar-70,1970,Marvel
Jerry Westman (Earth-616),,,,,Male Characters,,Living Characters,1,Aug-70,1970,Marvel
Lynx (Old West) (Earth-616),Secret Identity,Bad Characters,,Black Hair,Female Characters,,Living Characters,1,May-70,1970,Marvel
Mastermind (Bowers) (Earth-616),Secret Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,1,Nov-70,1970,Marvel
Myrmidon (Robot) (Earth-616),,,,,,,Living Characters,1,Sep-70,1970,Marvel
Ralph Ryder (Earth-616),Public Identity,Bad Characters,,,Male Characters,,Living Characters,1,Jul-70,1970,Marvel
Silas Cragg (Earth-616),,Bad Characters,,,Male Characters,,Deceased Characters,1,Jan-70,1970,Marvel
The Mercenary (Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Deceased Characters,1,Mar-70,1970,Marvel
The Overseer (Earth-616),Public Identity,,,,,,Deceased Characters,1,Sep-70,1970,Marvel
The Wizard (Android) (Earth-616),,Bad Characters,,,Male Characters,,Living Characters,1,Jul-70,1970,Marvel
Worta (Earth-616),No Dual Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,1,Nov-70,1970,Marvel
Atali (Frost Giant) (Earth-616),,,,,Female Characters,,Living Characters,1,May-71,1971,Marvel
Black Brother (Joshua) (Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,1,May-71,1971,Marvel
Cerexo (Earth-616),Secret Identity,Neutral Characters,,,Male Characters,,Living Characters,1,Mar-71,1971,Marvel
Changers (Earth-616),Secret Identity,Bad Characters,,No Hair,Agender Characters,,Living Characters,1,May-71,1971,Marvel
Colossus (Horusian) (Earth-616),Secret Identity,Bad Characters,White Eyes,Bald,Male Characters,,Living Characters,1,Nov-71,1971,Marvel
Duamutef (Horusian) (Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,1,Nov-71,1971,Marvel
Foreman (Earth-616),Secret Identity,Bad Characters,,White Hair,Male Characters,,Living Characters,1,May-71,1971,Marvel
Imset (Horusian) (Earth-616),,Bad Characters,,,Male Characters,,Living Characters,1,Nov-71,1971,Marvel
Klark (Earth-616),Secret Identity,Bad Characters,Black Eyes,,Male Characters,,Living Characters,1,May-71,1971,Marvel
Krystar (Earth-616),Public Identity,,,,Male Characters,,Living Characters,1,Nov-71,1971,Marvel
Mooneye (Earth-616),Public Identity,,,,Male Characters,,Living Characters,1,Nov-71,1971,Marvel
Obar (Earth-616),Public Identity,,,,Male Characters,,Living Characters,1,Nov-71,1971,Marvel
Opar (Earth-616),No Dual Identity,Good Characters,,,Male Characters,,Living Characters,1,Jan-71,1971,Marvel
Operative 12 (Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Deceased Characters,1,Oct-71,1971,Marvel
Pieter Altmann (Earth-616),,Bad Characters,,,Male Characters,,Deceased Characters,1,Sep-71,1971,Marvel
Qebehsenuf (Horusian) (Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,1,Nov-71,1971,Marvel
Taurus (Hyboria) (Earth-616),,,,,Male Characters,,Deceased Characters,1,Apr-71,1971,Marvel
Turalla (Earth-616),Public Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,1,Aug-71,1971,Marvel
Wurta (Earth-616),Public Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,1,Apr-71,1971,Marvel
Yag-Kosha (Earth-616),Secret Identity,,,,Male Characters,,Living Characters,1,Apr-71,1971,Marvel
Yara (Earth-616),,Bad Characters,,,Male Characters,,Deceased Characters,1,Apr-71,1971,Marvel
Agatha Timly (Earth-616),,Bad Characters,,,Female Characters,,Living Characters,1,May-72,1972,Marvel
Agent Q (Earth-616),Secret Identity,,,,Male Characters,,Living Characters,1,Sep-72,1972,Marvel
Armand Loring (Earth-616),,Bad Characters,,Blond Hair,Male Characters,,Living Characters,1,Dec-72,1972,Marvel
Blue Talon (Earth-616),,Bad Characters,,Brown Hair,Male Characters,,Deceased Characters,1,Oct-72,1972,Marvel
Demon of the Dark (Earth-616),Secret Identity,Bad Characters,,Brown Hair,Male Characters,,Living Characters,1,Aug-72,1972,Marvel
Dominor (Inhuman) (Earth-616),Public Identity,,,Black Hair,Male Characters,,Living Characters,1,Dec-72,1972,Marvel
Duron (Earth-616),Public Identity,Neutral Characters,,Brown Hair,Male Characters,,Deceased Characters,1,Apr-72,1972,Marvel
Elizabeth Ross (Counter-Earth) (Earth-616),No Dual Identity,,Blue Eyes,Brown Hair,Female Characters,,Living Characters,1,Dec-72,1972,Marvel
Gomar (Earth-616),Public Identity,Neutral Characters,,Brown Hair,Male Characters,,Deceased Characters,1,Apr-72,1972,Marvel
Haukk (Earth-616),No Dual Identity,Bad Characters,,,Male Characters,,Living Characters,1,Aug-72,1972,Marvel
Hounds of Helios (Earth-616),,Bad Characters,,,,,Living Characters,1,May-72,1972,Marvel
Jim (Earth-616),,,Blue Eyes,Black Hair,Male Characters,,Living Characters,1,Nov-72,1972,Marvel
Josiah Grey (Earth-616),No Dual Identity,,Black Eyes,Black Hair,Male Characters,,Living Characters,1,May-72,1972,Marvel
Kalxor (Earth-616),Secret Identity,Bad Characters,Green Eyes,No Hair,Male Characters,,Living Characters,1,Feb-72,1972,Marvel
Kathy Stewart (Earth-616),,,Blue Eyes,Red Hair,Female Characters,,Living Characters,1,Nov-72,1972,Marvel
Kraawl (Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,1,Oct-72,1972,Marvel
Kraig (Earth-616),,Bad Characters,,,Male Characters,,Deceased Characters,1,May-72,1972,Marvel
Krylar (Earth-616),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,1,Oct-72,1972,Marvel
Mark Cephalos (Earth-616),Public Identity,Bad Characters,,Bald,Male Characters,,Deceased Characters,1,Nov-72,1972,Marvel
Merro (Earth-616),No Dual Identity,,,,Male Characters,,Deceased Characters,1,Jun-72,1972,Marvel
Peter Parker (Counter-Earth) (Earth-616),No Dual Identity,,,,Male Characters,,Deceased Characters,1,Oct-72,1972,Marvel
Pih-Junn (Earth-616),No Dual Identity,Bad Characters,Black Eyes,,Male Characters,,Living Characters,1,Aug-72,1972,Marvel
Rhodan (Earth-616),,,,Brown Hair,Male Characters,,Living Characters,1,May-72,1972,Marvel
Robert Bruce Banner Jr. (Counter-Earth) (Earth-616),No Dual Identity,,,Brown Hair,Male Characters,,Living Characters,1,Dec-72,1972,Marvel
Shanna (Red Slayer) (Earth-616),Public Identity,Neutral Characters,,Blond Hair,Male Characters,,Deceased Characters,1,Apr-72,1972,Marvel
Tank (Earth-616),Public Identity,Bad Characters,,Brown Hair,Male Characters,,Living Characters,1,Jun-72,1972,Marvel
Ursa the Man-Bear (Earth-616),Secret Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,1,Nov-72,1972,Marvel
Ace (SHIELD Agent) (Earth-616),Secret Identity,Good Characters,,,Male Characters,,Living Characters,1,Sep-73,1973,Marvel
Aquon (Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,1,Jul-73,1973,Marvel
Arnaa (Earth-616),Secret Identity,Good Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,1,Feb-73,1973,Marvel
Benjamin Grimm (Counter-Earth) (Earth-616),Public Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,1,Aug-73,1973,Marvel
Costeau (Earth-616),,,,,Male Characters,,Living Characters,1,Apr-73,1973,Marvel
Dan (Earth-616),Public Identity,,,Blond Hair,Male Characters,,Living Characters,1,Feb-73,1973,Marvel
Elanna (Earth-616),Public Identity,Good Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,1,Aug-73,1973,Marvel
Giao Endros (Earth-616),,Bad Characters,,,Male Characters,,Living Characters,1,Aug-73,1973,Marvel
Gorein (Earth-616),Public Identity,,,Black Hair,Male Characters,,Living Characters,1,Oct-73,1973,Marvel
Gregor (resident of the Golden Star),No Dual Identity,Neutral Characters,,No Hair,Male Characters,,Living Characters,1,Jul-73,1973,Marvel
Grokko (Earth-616),Public Identity,Bad Characters,,,Male Characters,,Living Characters,1,Aug-73,1973,Marvel
Higila (Earth-616),Public Identity,,,No Hair,,,Living Characters,1,Jul-73,1973,Marvel
Hobar (Earth-616),Public Identity,,,,Male Characters,,Living Characters,1,Sep-73,1973,Marvel
Holden Crane (Earth-616),,,,Black Hair,Male Characters,,Deceased Characters,1,Nov-73,1973,Marvel
Ibbar (Zephyrean) (Earth-616),Public Identity,,Red Eyes,White Hair,Male Characters,,Living Characters,1,Aug-73,1973,Marvel
Ichabod Rasputin (Earth-616),Public Identity,Bad Characters,Black Eyes,Bald,Male Characters,,Living Characters,1,Mar-73,1973,Marvel
Jack Martin (Earth-616),Public Identity,Good Characters,,Brown Hair,Male Characters,,Living Characters,1,Apr-73,1973,Marvel
Jalin (Earth-616),No Dual Identity,Bad Characters,,No Hair,Male Characters,,Living Characters,1,Jul-73,1973,Marvel
Jim Arsdale (Earth-616),No Dual Identity,,,Brown Hair,Male Characters,,Deceased Characters,1,Nov-73,1973,Marvel
John Silver (Earth-616),Public Identity,Bad Characters,,,Male Characters,,Living Characters,1,Jan-73,1973,Marvel
Jonathan Storm (Counter-Earth) (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,1,Jun-73,1973,Marvel
Kabal (Zephyrean) (Earth-616),,,,White Hair,Male Characters,,Living Characters,1,Aug-73,1973,Marvel
Karl Lubbings (Earth-616),Public Identity,Bad Characters,,,Male Characters,,Deceased Characters,1,Apr-73,1973,Marvel
Kavor (Earth-616),,Good Characters,,,Male Characters,,Living Characters,1,Oct-73,1973,Marvel
Kazantra (Earth-616),,,,Blond Hair,Female Characters,,Living Characters,1,Nov-73,1973,Marvel
Kevin Kennerman (Earth-616),Public Identity,,,Blond Hair,Male Characters,,Living Characters,1,Nov-73,1973,Marvel
King Cycle (Earth-616),Public Identity,Bad Characters,,,Male Characters,,Living Characters,1,Jul-73,1973,Marvel
Krogg (Demon) (Earth-616),Secret Identity,Bad Characters,Red Eyes,,Male Characters,,Living Characters,1,Aug-73,1973,Marvel
Lord Ruthven (Earth-616),Secret Identity,,Blue Eyes,Brown Hair,Male Characters,,Living Characters,1,Jun-73,1973,Marvel
Mara (Eternal) (Earth-616),Secret Identity,Good Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,1,Feb-73,1973,Marvel
Mary Brown (Man-Thing) (Earth-616),,,,Black Hair,Female Characters,,Living Characters,1,Nov-73,1973,Marvel
Mikhal Oglu (Earth-616),,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,1,Feb-73,1973,Marvel
Muthos (Earth-616),Secret Identity,Bad Characters,,Orange-brown Hair,Male Characters,,Living Characters,1,Apr-73,1973,Marvel
Ninox (Earth-616),Public Identity,,,Brown Hair,Male Characters,,Living Characters,1,Oct-73,1973,Marvel
Ocar (Earth-616),Public Identity,Good Characters,,White Hair,Male Characters,,Living Characters,1,Jun-73,1973,Marvel
Orrek (Earth-616),Public Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,1,Aug-73,1973,Marvel
Piskas (Earth-616),Public Identity,Neutral Characters,,No Hair,Male Characters,,Living Characters,1,Feb-73,1973,Marvel
Ralph Sorrell (Earth-616),Public Identity,Bad Characters,,Brown Hair,Male Characters,,Deceased Characters,1,Nov-73,1973,Marvel
Randolph Dering (Earth-616),Secret Identity,,,Brown Hair,Male Characters,,Living Characters,1,Jan-73,1973,Marvel
Rennar (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,1,Aug-73,1973,Marvel
Ruseef (Earth-616),Public Identity,,,No Hair,Male Characters,,Living Characters,1,Oct-73,1973,Marvel
Shabarr (Earth-616),Public Identity,Bad Characters,,,Male Characters,,Living Characters,1,Aug-73,1973,Marvel
Soja (Earth-616),Public Identity,,,Red Hair,Female Characters,,Deceased Characters,1,Oct-73,1973,Marvel
Stegor (Earth-616),Secret Identity,Good Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,1,Aug-73,1973,Marvel
Susan Storm (Counter-Earth) (Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,1,Jun-73,1973,Marvel
Tanas (Earth-616),Public Identity,Good Characters,Blue Eyes,Grey Hair,Male Characters,,Living Characters,1,Aug-73,1973,Marvel
Things on Easter Island (Earth-616),Secret Identity,Bad Characters,,,,,Living Characters,1,Oct-73,1973,Marvel
Tremmidur (Earth-616),Secret Identity,Bad Characters,,Orange-brown Hair,Male Characters,,Living Characters,1,Apr-73,1973,Marvel
Tulayn (Earth-616),Secret Identity,Good Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,1,Feb-73,1973,Marvel
White Bow (Earth-616),Secret Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,1,Mar-73,1973,Marvel
Zapal (Earth-616),No Dual Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,1,Jun-73,1973,Marvel
Zargus (Zephyrean) (Earth-616),,,,White Hair,Male Characters,,Living Characters,1,Aug-73,1973,Marvel
Agent of Hell (Earth-616),Secret Identity,Bad Characters,,No Hair,Male Characters,,Living Characters,1,Jun-74,1974,Marvel
Agent of the Realm Between (Earth-616),Secret Identity,Neutral Characters,,,Male Characters,,Living Characters,1,Jun-74,1974,Marvel
Arachne (Demon-Fire) (Earth-616),Secret Identity,Bad Characters,,,,,Deceased Characters,1,Feb-74,1974,Marvel
Bufford Jones (Earth-616),Public Identity,Bad Characters,,,Male Characters,,Living Characters,1,Sep-74,1974,Marvel
Carolyn Schist (Earth-616),No Dual Identity,Neutral Characters,Blue Eyes,Brown Hair,Female Characters,,Living Characters,1,Nov-74,1974,Marvel
Chimu (Earth-616),No Dual Identity,Good Characters,,,Male Characters,,Living Characters,1,Oct-74,1974,Marvel
Dane Gavin (Earth-616),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,1,Nov-74,1974,Marvel
Demetros (Earth-616),,,,,Male Characters,,Living Characters,1,Apr-74,1974,Marvel
Duncan Corley (Earth-616),Public Identity,Neutral Characters,,,Male Characters,,Living Characters,1,Jan-74,1974,Marvel
Eaglus (Earth-616),Secret Identity,,,,Male Characters,,Living Characters,1,Jul-74,1974,Marvel
Heindrich von Wilhelm Innsbruck (Earth-616),Secret Identity,Bad Characters,,White Hair,Male Characters,,Living Characters,1,May-74,1974,Marvel
Jake Mallard (Earth-616),,Neutral Characters,Black Eyes,Brown Hair,Male Characters,,Deceased Characters,1,Apr-74,1974,Marvel
Krato (Earth-616),No Dual Identity,Good Characters,,,Male Characters,,Living Characters,1,Mar-74,1974,Marvel
Michael Pike (Earth-616),,Neutral Characters,,,Male Characters,,Deceased Characters,1,Apr-74,1974,Marvel
Mithra (Earth-616),,,,Brown Hair,Male Characters,,Living Characters,1,Oct-74,1974,Marvel
Mortoid (Earth-616),,Bad Characters,,No Hair,,,Deceased Characters,1,Mar-74,1974,Marvel
Orville Smythe (Earth-616),No Dual Identity,Bad Characters,,,Male Characters,,Living Characters,1,Feb-74,1974,Marvel
Robert Fong (Earth-616),Public Identity,Bad Characters,,,Male Characters,,Deceased Characters,1,Aug-74,1974,Marvel
Scar Turpin (Earth-616),Public Identity,Good Characters,,Blond Hair,Male Characters,,Living Characters,1,Nov-74,1974,Marvel
Sister Saint (Earth-616),Secret Identity,Bad Characters,,,Female Characters,,Deceased Characters,1,Apr-74,1974,Marvel
Tuumar (Earth-616),,Bad Characters,,,Male Characters,,Living Characters,1,Mar-74,1974,Marvel
Vivian Schist (Earth-616),No Dual Identity,Neutral Characters,Blue Eyes,Grey Hair,Female Characters,,Living Characters,1,Nov-74,1974,Marvel
Wilfred Noble (Earth-616),Public Identity,Good Characters,,,Male Characters,,Living Characters,1,Oct-74,1974,Marvel
Zeneg (Earth-616),,Bad Characters,,,Male Characters,,Living Characters,1,Mar-74,1974,Marvel
Agathon (Earth-616),,Bad Characters,,,Male Characters,,Living Characters,1,Jan-75,1975,Marvel
Alhambra (Akbitana) (Earth-616),,Bad Characters,,Black Hair,Female Characters,,Living Characters,1,Aug-75,1975,Marvel
Arnold Nicholson (Earth-616),Public Identity,Bad Characters,,,Male Characters,,Deceased Characters,1,Jan-75,1975,Marvel
Ashurbanipal (Earth-616),,,,,Male Characters,,Living Characters,1,Aug-75,1975,Marvel
Bak (Earth-616),Public Identity,,,Red Hair,Male Characters,,Living Characters,1,Apr-75,1975,Marvel
Chiroptera (Earth-616),,Bad Characters,,,Male Characters,,Living Characters,1,Jan-75,1975,Marvel
Clete Brandon (Earth-616),No Dual Identity,Bad Characters,,,Male Characters,,Living Characters,1,Jul-75,1975,Marvel
Constantius (Earth-616),Public Identity,Bad Characters,,,Male Characters,,Deceased Characters,1,Apr-75,1975,Marvel
Cylla (Deity) (Earth-616),Secret Identity,,Blue Eyes,Black Hair,Female Characters,,Living Characters,1,Nov-75,1975,Marvel
Dack Derringer (Earth-616),Public Identity,Bad Characters,,Black Hair,Male Characters,,Deceased Characters,1,Jul-75,1975,Marvel
Dansker (Earth-616),Secret Identity,Bad Characters,,Brown Hair,Male Characters,,Living Characters,1,Dec-75,1975,Marvel
Delandra (Earth-616),,Neutral Characters,,,Female Characters,,Living Characters,1,Jul-75,1975,Marvel
Desinna (Earth-616),Secret Identity,Bad Characters,Blue Eyes,White Hair,Female Characters,,Living Characters,1,Jan-75,1975,Marvel
Doctor Kurarkill (Earth-616),,Bad Characters,,,Female Characters,,Deceased Characters,1,Oct-75,1975,Marvel
Doomsman II (Earth-616),Public Identity,Bad Characters,,No Hair,Male Characters,,Living Characters,1,Apr-75,1975,Marvel
Edmond Winshed (Earth-616),Public Identity,Neutral Characters,,Black Hair,Male Characters,,Deceased Characters,1,May-75,1975,Marvel
Edward Culhaney (Earth-616),No Dual Identity,Neutral Characters,,Black Hair,Male Characters,,Deceased Characters,1,May-75,1975,Marvel
